t,armed,thr_us,roll_sp_dps,pitch_sp_dps,yaw_sp_dps,gx_dps,gy_dps,gz_dps,roll_u,roll_p,roll_i,roll_d,pitch_u,pitch_p,pitch_i,pitch_d,yaw_u,yaw_p,yaw_i,yaw_d,m1_us,m2_us,m3_us,m4_us,rc_raw_roll,rc_raw_pitch,rc_raw_thr,rc_raw_yaw,rc_raw_arm
0.231204,1,1050,-116.455,0.000,-11.473,-0.125,0.000,-0.062,-116.330,-116.330,-0.000,-0.000,0.000,0.000,0.000,0.000,-9.129,-9.129,-0.000,-0.000,1000,1175,1000,1157,26,1152,21,768,0
0.243974,1,1344,0.000,0.000,0.000,-0.062,0.000,0.000,0.062,0.062,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,1344,1344,1344,1344,1005,996,706,1013,191
0.253897,1,1344,0.000,0.000,0.000,0.000,0.000,-0.062,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.050,0.050,-0.000,0.000,1344,1344,1344,1344,1005,996,706,1013,191
0.263805,1,1344,0.000,0.000,0.000,-0.062,-0.062,0.000,0.062,0.062,-0.000,0.000,0.062,0.062,0.000,0.000,0.000,0.000,-0.000,-0.000,1345,1344,1344,1344,1005,996,706,1013,191
0.273959,1,1344,0.000,0.000,0.000,-0.062,0.000,0.000,0.062,0.062,-0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.000,0.000,1344,1344,1344,1344,1005,996,706,1013,191
0.283826,1,1344,0.000,0.000,0.000,-0.062,0.000,0.062,0.062,0.062,-0.000,0.000,0.000,0.000,0.000,0.000,-0.050,-0.050,-0.000,-0.000,1344,1344,1345,1344,1005,996,706,1013,191
0.293816,1,1344,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.000,-0.000,-0.000,-0.062,-0.062,-0.000,-0.000,0.000,0.000,-0.000,0.000,1344,1344,1344,1344,1005,996,706,1013,191
0.303816,1,1344,0.000,0.000,0.000,0.000,0.062,-0.062,0.000,0.000,-0.000,0.000,-0.062,-0.062,-0.000,0.000,0.050,0.050,-0.000,0.000,1344,1344,1344,1345,1005,996,706,1013,191
0.331248,1,1050,-116.455,0.000,-11.473,0.000,0.000,0.000,-116.455,-116.455,-0.000,-0.000,0.000,0.000,0.000,0.000,-9.179,-9.179,-0.000,-0.000,1000,1175,1000,1157,26,1152,21,768,0
0.343794,1,1344,0.000,0.000,0.000,-0.062,0.000,0.000,0.062,0.062,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,1344,1344,1344,1344,1005,996,706,1013,191
0.353752,1,1344,0.000,0.000,0.000,-0.062,0.062,0.000,0.062,0.062,-0.000,0.000,-0.062,-0.062,-0.000,-0.000,0.000,0.000,-0.000,0.000,1344,1344,1345,1344,1005,996,706,1013,191
0.363733,1,1344,0.000,0.000,0.000,-0.062,0.000,0.000,0.062,0.062,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,1344,1344,1344,1344,1005,996,706,1012,191
0.373734,1,1344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,1344,1344,1344,1344,1005,996,706,1012,191
0.383633,1,1344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,1344,1344,1344,1344,1005,996,706,1012,191
0.581320,1,1098,0.000,0.000,-33.559,-0.062,0.062,-0.125,0.062,0.062,0.000,0.000,-0.062,-0.062,-0.000,-0.000,-26.747,-26.747,-0.000,-0.000,1071,1125,1125,1071,1005,996,202,552,191
0.603972,1,1090,0.000,0.000,-49.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-39.281,-39.281,-0.000,-0.000,1051,1130,1130,1051,1005,996,186,400,191
0.614299,1,1090,0.000,0.000,-58.201,0.000,0.062,-0.125,0.000,0.000,0.000,0.000,-0.062,-0.062,-0.000,-0.000,-46.461,-46.461,-0.000,-0.000,1044,1137,1137,1044,1005,996,186,311,191
0.623332,1,1090,0.000,0.000,-67.199,0.000,0.000,-0.062,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,-53.709,-53.709,-0.000,-0.000,1037,1144,1144,1037,1005,996,186,223,191
0.641383,1,1090,0.000,0.000,-69.959,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-55.967,-55.967,-0.000,-0.000,1034,1146,1146,1034,1005,996,186,196,191
0.663850,1,1090,0.000,0.000,-69.959,0.000,0.062,0.000,0.000,0.000,0.000,0.000,-0.062,-0.062,-0.000,-0.000,-55.967,-55.967,-0.000,-0.000,1034,1146,1146,1034,1005,996,186,196,191
0.684028,1,1090,0.000,0.000,-69.959,-0.062,0.062,0.000,0.062,0.062,0.000,0.000,-0.062,-0.062,-0.000,-0.000,-55.967,-55.967,-0.000,-0.000,1034,1146,1146,1034,1005,996,186,196,191
0.706407,1,1090,0.000,0.000,-69.959,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-55.967,-55.967,-0.000,-0.000,1034,1146,1146,1034,1005,996,186,196,191
0.723711,1,1090,0.000,0.000,-69.959,0.000,0.062,0.000,0.000,0.000,0.000,0.000,-0.062,-0.062,-0.000,-0.000,-55.967,-55.967,-0.000,-0.000,1034,1146,1146,1034,1005,996,186,196,191
0.742388,1,1090,0.000,0.000,-69.959,-0.062,-0.062,-0.062,0.062,0.062,0.000,0.000,0.062,0.062,0.000,0.000,-55.917,-55.917,-0.000,-0.000,1035,1146,1146,1034,1005,996,186,196,191
0.764041,1,1090,0.000,0.000,-69.959,-0.062,0.000,-0.062,0.062,0.062,0.000,0.000,0.000,0.000,0.000,0.000,-55.917,-55.917,-0.000,-0.000,1035,1146,1146,1034,1005,996,186,196,191
0.783803,1,1090,0.000,0.000,-69.959,-0.062,0.000,-0.062,0.062,0.062,0.000,0.000,0.000,0.000,0.000,0.000,-55.917,-55.917,-0.000,-0.000,1035,1146,1146,1034,1005,996,186,196,191
0.794287,1,1090,0.000,0.000,-69.959,-0.062,0.000,0.000,0.062,0.062,0.000,0.000,0.000,0.000,0.000,0.000,-55.967,-55.967,-0.000,-0.000,1034,1146,1146,1034,1005,996,186,196,191
0.814336,1,1090,0.000,0.000,-69.959,0.000,0.000,-0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-55.917,-55.917,-0.000,-0.000,1034,1146,1146,1034,1005,996,186,196,191
0.826153,1,1090,0.000,0.000,-69.959,0.000,0.000,-0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-55.917,-55.917,-0.000,0.000,1034,1146,1146,1034,1007,996,186,196,191
0.853965,1,1090,0.000,0.000,-69.959,-0.125,0.000,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,-55.967,-55.967,-0.000,-0.000,1035,1146,1146,1034,1005,996,186,196,191
0.862984,1,1090,0.000,0.000,-69.959,0.000,0.000,-0.062,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,-55.917,-55.917,-0.000,0.000,1034,1146,1146,1034,1005,996,186,196,191
0.883992,1,1090,0.000,0.000,-69.959,-0.062,0.000,0.000,0.062,0.062,0.000,0.000,0.000,0.000,0.000,0.000,-55.967,-55.967,-0.000,-0.000,1034,1146,1146,1034,1005,996,186,196,191
0.893069,1,1090,0.000,0.000,-69.959,0.000,-0.062,0.000,0.000,0.000,0.000,-0.000,0.062,0.062,0.000,0.000,-55.967,-55.967,-0.000,0.000,1034,1146,1146,1034,1005,996,186,196,191
0.903252,1,1090,0.000,0.000,-69.959,0.000,0.062,-0.062,0.000,0.000,0.000,0.000,-0.062,-0.062,-0.000,-0.000,-55.917,-55.917,-0.000,0.000,1034,1146,1146,1035,1005,996,186,196,191
0.923755,1,1090,0.000,0.000,-69.959,-0.062,0.062,-0.125,0.062,0.062,0.000,0.000,-0.062,-0.062,-0.000,-0.000,-55.867,-55.867,-0.000,-0.000,1034,1146,1146,1034,1005,996,186,196,191
0.932913,1,1090,0.000,0.000,-69.959,0.000,-0.062,0.062,0.000,0.000,0.000,-0.000,0.062,0.062,-0.000,0.000,-56.017,-56.017,-0.000,-0.000,1034,1146,1146,1034,1005,996,186,196,191
