t,armed,thr_us,roll_sp_dps,pitch_sp_dps,yaw_sp_dps,gx_dps,gy_dps,gz_dps,roll_u,roll_p,roll_i,roll_d,pitch_u,pitch_p,pitch_i,pitch_d,yaw_u,yaw_p,yaw_i,yaw_d,m1_us,m2_us,m3_us,m4_us,rc_raw_roll,rc_raw_pitch,rc_raw_thr,rc_raw_yaw,rc_raw_arm
0.193647,1,1050,-198.437,25.110,-37.445,-0.062,0.000,0.000,-396.748,-396.748,-0.000,-0.000,50.220,50.220,0.000,0.000,-56.168,-56.168,-0.000,-0.000,1000,1553,1000,1340,8,1152,21,768,0
0.293741,1,1050,-198.437,25.110,-37.445,-0.125,0.000,-0.062,-396.623,-396.623,-0.000,-0.000,50.220,50.220,0.000,0.000,-56.074,-56.074,-0.000,-0.000,1000,1552,1000,1340,8,1152,21,768,0
0.393740,1,1050,-198.437,25.110,-37.445,-0.062,0.062,0.062,-396.748,-396.748,-0.000,-0.000,50.095,50.095,0.000,0.000,-56.261,-56.261,-0.000,-0.000,1000,1553,1000,1340,8,1152,21,768,0
0.593777,1,1050,-198.437,25.110,-37.445,-0.125,0.062,-0.062,-396.623,-396.623,-0.000,-0.000,50.095,50.095,0.000,0.000,-56.074,-56.074,-0.000,-0.000,1000,1552,1000,1340,8,1152,25,768,0
0.698741,1,1050,-198.437,25.110,-37.445,0.000,0.000,0.000,-396.873,-396.873,-0.000,-0.000,50.220,50.220,0.000,0.000,-56.168,-56.168,-0.000,-0.000,1000,1553,1000,1340,8,1152,21,768,0
0.793753,1,1050,-198.437,25.110,-37.445,0.000,0.000,0.000,-396.873,-396.873,-0.000,-0.000,50.220,50.220,0.000,0.000,-56.168,-56.168,-0.000,-0.000,1000,1553,1000,1340,8,1152,21,768,0
1.101231,1,1050,-198.437,25.110,-37.445,-0.125,0.062,-0.062,-396.623,-396.623,-0.000,-0.000,50.095,50.095,0.000,0.000,-56.074,-56.074,-0.000,-0.000,1000,1552,1000,1340,8,1152,21,768,0
1.304012,1,1050,-198.437,25.110,-37.445,-0.062,0.062,-0.062,-396.748,-396.748,-0.000,-0.000,50.095,50.095,0.000,0.000,-56.074,-56.074,-0.000,-0.000,1000,1552,1000,1340,8,1152,21,768,0
1.708684,1,1050,-198.632,25.110,-37.445,-0.062,0.000,-0.062,-397.139,-397.139,-0.000,-0.000,50.220,50.220,0.000,0.000,-56.074,-56.074,-0.000,-0.000,1000,1553,1000,1340,7,1152,21,768,0
1.808654,1,1050,-198.632,25.110,-37.445,0.062,0.000,0.000,-397.389,-397.389,-0.000,-0.000,50.220,50.220,0.000,0.000,-56.168,-56.168,-0.000,-0.000,1000,1553,1000,1341,7,1152,17,768,0
2.213903,1,1050,-197.460,25.110,-37.445,0.000,-0.062,-0.125,-394.919,-394.919,-0.000,-0.000,50.345,50.345,0.000,0.000,-55.980,-55.980,-0.000,-0.000,1000,1551,1000,1338,13,1152,21,768,0
2.313659,1,1050,-196.873,25.110,-37.445,-0.062,0.062,-0.062,-393.622,-393.622,-0.000,-0.000,50.095,50.095,0.000,0.000,-56.074,-56.074,-0.000,-0.000,1000,1549,1000,1337,16,1152,21,768,0
